INSERT INTO tb_vendas_itens 
(vite_quantidade, vite_valor_parcial) VALUES 
('75984', '16.00'),
('27848', '42.00'),
('99039', '23.00'),
('64106', '44.00'),
('49424', '33.00'),
('92154', '18.00'),
('89958', '35.00'),
('83312', '15.00'),
('70018', '2.00'),
('33961', '23.00'),
('59417', '8.00'),
('18628', '16.00'),
('12565', '46.00'),
('50439', '21.00'),
('50718', '27.00'),
('10565', '44.00'),
('57465', '29.00'),
('49061', '32.00'),
('35082', '14.00'),
('24772', '34.00'),
('52681', '25.00'),
('55774', '1.00'),
('21103', '30.00'),
('36804', '20.00'),
('78686', '31.00'),
('46459', '47.00'),
('78680', '49.00'),
('17225', '41.00'),
('98536', '13.00'),
('72552', '35.00'),
('82551', '21.00'),
('10069', '31.00'),
('24577', '35.00'),
('59087', '43.00'),
('91641', '28.00'),
('37092', '30.00'),
('82615', '17.00'),
('74172', '30.00'),
('46847', '2.00'),
('76015', '45.00'),
('13350', '50.00'),
('76315', '24.00'),
('71122', '49.00'),
('53183', '50.00'),
('36959', '45.00'),
('59588', '20.00'),
('76590', '24.00'),
('71901', '21.00'),
('75521', '36.00'),
('44213', '7.00'),
('98431', '45.00'),
('95784', '16.00'),
('78366', '31.00'),
('99091', '20.00'),
('46942', '16.00'),
('54034', '12.00'),
('82967', '7.00'),
('62030', '10.00'),
('53111', '45.00'),
('11801', '13.00'),
('33933', '37.00'),
('35131', '32.00'),
('80376', '32.00'),
('79724', '7.00'),
('85809', '13.00'),
('90816', '20.00'),
('84198', '25.00'),
('38097', '28.00'),
('74104', '20.00'),
('66561', '16.00'),
('38857', '28.00'),
('23253', '47.00'),
('48784', '27.00'),
('43249', '41.00'),
('45848', '44.00'),
('81425', '27.00'),
('55565', '11.00'),
('68800', '34.00'),
('54309', '49.00'),
('70438', '15.00'),
('19557', '44.00'),
('93255', '28.00'),
('79964', '23.00'),
('47368', '25.00'),
('33420', '45.00'),
('57237', '44.00'),
('47158', '50.00'),
('98026', '47.00'),
('76136', '47.00'),
('98807', '16.00'),
('65891', '41.00'),
('23258', '50.00'),
('96923', '1.00'),
('36117', '17.00'),
('72451', '25.00'),
('47679', '43.00'),
('72869', '6.00'),
('65421', '39.00'),
('12668', '9.00'),
('45614', '10.00'),
('17153', '26.00'),
('14335', '47.00'),
('98181', '22.00'),
('96392', '35.00'),
('46199', '39.00'),
('64383', '12.00'),
('84943', '11.00'),
('20009', '1.00'),
('35825', '17.00'),
('98280', '23.00'),
('11196', '44.00'),
('24726', '48.00'),
('67301', '18.00'),
('94683', '24.00'),
('62349', '30.00'),
('73876', '5.00'),
('77040', '1.00'),
('55675', '38.00'),
('90429', '41.00'),
('26447', '5.00'),
('64358', '14.00'),
('98649', '12.00'),
('99235', '42.00'),
('83618', '34.00'),
('99942', '31.00'),
('73242', '17.00'),
('59385', '17.00'),
('78880', '41.00'),
('87696', '23.00'),
('28271', '49.00'),
('38549', '9.00'),
('54502', '8.00'),
('99014', '34.00'),
('72748', '33.00'),
('87056', '44.00'),
('31323', '34.00'),
('34054', '11.00'),
('92634', '44.00'),
('48682', '26.00'),
('84298', '28.00'),
('70868', '18.00'),
('62752', '18.00'),
('37947', '48.00'),
('10717', '44.00'),
('10597', '8.00'),
('33910', '45.00'),
('13062', '8.00'),
('57046', '24.00'),
('72498', '10.00'),
('94519', '24.00'),
('61536', '16.00'),
('68189', '50.00'),
('55337', '41.00'),
('58008', '7.00'),
('61233', '24.00'),
('90825', '12.00'),
('70702', '1.00'),
('89690', '10.00'),
('95629', '50.00'),
('86763', '2.00'),
('42349', '29.00'),
('97712', '13.00'),
('54754', '43.00'),
('64855', '45.00'),
('72899', '42.00'),
('24252', '28.00'),
('34554', '45.00'),
('19788', '22.00'),
('22840', '16.00'),
('50575', '20.00'),
('75846', '7.00'),
('26596', '50.00'),
('82022', '45.00'),
('31264', '44.00'),
('14408', '34.00'),
('98202', '18.00'),
('17088', '48.00'),
('80943', '45.00'),
('59830', '19.00'),
('68867', '20.00'),
('31368', '37.00'),
('13276', '41.00'),
('17193', '41.00'),
('26204', '24.00'),
('30545', '2.00'),
('81569', '15.00'),
('25525', '18.00'),
('76119', '38.00'),
('32536', '17.00'),
('99222', '45.00'),
('36481', '21.00'),
('38439', '37.00'),
('90087', '43.00'),
('22937', '35.00'),
('11859', '48.00'),
('63684', '19.00'),
('45897', '40.00'),
('97342', '3.00'),
('84145', '13.00'),
('98624', '26.00'),
('37577', '34.00'),
('59036', '32.00'),
('79230', '33.00'),
('53514', '41.00'),
('87157', '14.00'),
('75480', '25.00'),
('66323', '20.00'),
('17087', '27.00'),
('81180', '46.00'),
('62702', '32.00'),
('58827', '5.00'),
('71814', '47.00'),
('93154', '12.00'),
('35679', '4.00'),
('49405', '2.00'),
('12597', '24.00'),
('73972', '15.00'),
('78195', '3.00'),
('44526', '19.00'),
('21139', '33.00'),
('35141', '15.00'),
('20980', '15.00'),
('79244', '14.00'),
('18155', '7.00'),
('43104', '19.00'),
('59377', '26.00'),
('32164', '13.00'),
('36927', '42.00'),
('36281', '33.00'),
('30115', '37.00'),
('82592', '17.00'),
('71851', '47.00'),
('41386', '25.00'),
('69938', '8.00'),
('41610', '3.00'),
('58492', '16.00'),
('72659', '15.00'),
('69229', '8.00'),
('70434', '29.00'),
('25577', '50.00'),
('93495', '43.00'),
('85649', '15.00'),
('38506', '36.00'),
('44511', '25.00'),
('96685', '8.00'),
('47069', '38.00'),
('68818', '20.00'),
('50408', '21.00'),
('93393', '2.00'),
('90868', '9.00'),
('28977', '13.00'),
('20489', '34.00'),
('66196', '3.00'),
('80371', '50.00'),
('79055', '3.00'),
('12772', '8.00'),
('32131', '8.00'),
('74583', '23.00'),
('96223', '45.00'),
('31411', '10.00'),
('43640', '14.00'),
('65280', '25.00'),
('50675', '3.00'),
('69678', '21.00'),
('60039', '4.00'),
('22398', '26.00'),
('16202', '37.00'),
('27263', '7.00'),
('39302', '22.00'),
('89537', '12.00'),
('12511', '11.00'),
('78213', '21.00'),
('91414', '41.00'),
('94601', '47.00'),
('82853', '16.00'),
('74322', '5.00'),
('68416', '25.00'),
('83199', '34.00'),
('45864', '1.00'),
('30396', '19.00'),
('14994', '24.00'),
('72251', '3.00'),
('44123', '14.00'),
('88169', '21.00'),
('88131', '26.00'),
('37699', '41.00'),
('99354', '33.00'),
('23572', '12.00'),
('64093', '26.00'),
('44717', '14.00'),
('43434', '27.00'),
('87032', '13.00'),
('25847', '45.00'),
('53417', '28.00'),
('60903', '8.00'),
('64351', '17.00'),
('32698', '33.00'),
('65039', '6.00'),
('61227', '25.00'),
('75149', '43.00'),
('33141', '5.00'),
('81267', '3.00'),
('88721', '20.00'),
('54036', '6.00'),
('62664', '24.00'),
('73020', '22.00'),
('71753', '28.00'),
('12984', '49.00'),
('61642', '49.00'),
('52616', '14.00'),
('53992', '5.00'),
('16649', '44.00'),
('11357', '21.00'),
('25851', '22.00'),
('12695', '2.00'),
('43616', '9.00'),
('99951', '5.00'),
('42451', '7.00'),
('67055', '43.00'),
('37935', '9.00'),
('41596', '29.00'),
('94705', '42.00'),
('40406', '10.00'),
('82077', '12.00'),
('82230', '19.00'),
('15620', '20.00'),
('30451', '26.00'),
('67515', '50.00'),
('57223', '44.00'),
('43575', '36.00'),
('17536', '9.00'),
('35084', '27.00'),
('28167', '18.00'),
('59772', '26.00'),
('84919', '43.00'),
('70798', '44.00'),
('63615', '5.00'),
('52804', '27.00'),
('91651', '42.00'),
('79333', '36.00'),
('78194', '29.00'),
('76009', '29.00'),
('10554', '9.00'),
('52639', '42.00'),
('50765', '37.00'),
('26989', '22.00'),
('54340', '15.00'),
('76059', '39.00'),
('14165', '42.00'),
('41018', '10.00'),
('95309', '38.00'),
('77656', '28.00'),
('62107', '23.00'),
('81616', '40.00'),
('44185', '38.00'),
('12355', '42.00'),
('26930', '34.00'),
('97865', '18.00'),
('72652', '8.00'),
('52413', '29.00'),
('85922', '23.00'),
('52362', '16.00'),
('23260', '14.00'),
('98994', '22.00'),
('86847', '14.00'),
('78826', '1.00'),
('54753', '30.00'),
('67981', '48.00'),
('70188', '2.00'),
('11577', '32.00'),
('49587', '37.00'),
('36234', '11.00'),
('55314', '40.00'),
('61801', '2.00'),
('85316', '47.00'),
('89366', '33.00'),
('94382', '2.00'),
('62881', '40.00'),
('82064', '43.00'),
('94823', '10.00'),
('74801', '44.00'),
('65065', '46.00'),
('68738', '49.00'),
('39603', '37.00'),
('17223', '27.00'),
('57754', '13.00'),
('88986', '41.00'),
('39515', '9.00'),
('23446', '41.00'),
('80760', '23.00'),
('75745', '30.00'),
('55078', '17.00'),
('33269', '36.00'),
('25037', '39.00'),
('46260', '39.00'),
('51800', '10.00'),
('18006', '19.00'),
('80946', '11.00'),
('70433', '33.00'),
('77046', '47.00'),
('83415', '22.00'),
('60766', '45.00'),
('98369', '6.00'),
('43782', '31.00'),
('65583', '50.00'),
('27540', '9.00'),
('84544', '11.00'),
('20818', '45.00'),
('92079', '36.00'),
('79104', '44.00'),
('16242', '2.00'),
('25188', '35.00'),
('51170', '21.00'),
('93802', '44.00'),
('70910', '14.00'),
('45671', '31.00'),
('91732', '37.00'),
('60214', '10.00'),
('30843', '30.00'),
('99530', '41.00'),
('25245', '31.00'),
('34902', '32.00'),
('51535', '2.00'),
('36685', '6.00'),
('71645', '50.00'),
('42003', '47.00'),
('79125', '29.00'),
('79633', '23.00'),
('84403', '38.00'),
('38237', '26.00'),
('81074', '7.00'),
('63493', '12.00'),
('97381', '42.00'),
('79954', '47.00'),
('45460', '38.00'),
('75855', '9.00'),
('18376', '26.00'),
('94500', '41.00'),
('95242', '29.00'),
('45326', '16.00'),
('60032', '28.00'),
('33837', '6.00'),
('29074', '50.00'),
('57249', '37.00'),
('92356', '42.00'),
('23308', '43.00'),
('41436', '35.00'),
('14868', '11.00'),
('55000', '17.00'),
('77011', '46.00'),
('69063', '26.00'),
('59013', '41.00'),
('78601', '26.00'),
('20830', '3.00'),
('28227', '42.00'),
('39473', '15.00'),
('68440', '26.00'),
('21670', '43.00'),
('56591', '9.00'),
('75436', '29.00'),
('23394', '27.00'),
('38131', '37.00'),
('46975', '7.00'),
('50884', '43.00'),
('52879', '11.00'),
('65732', '3.00'),
('81767', '15.00'),
('19841', '33.00'),
('47109', '26.00'),
('19154', '1.00'),
('74946', '9.00'),
('83269', '7.00'),
('13999', '13.00'),
('34310', '34.00'),
('33098', '49.00'),
('32986', '39.00'),
('88740', '2.00'),
('40642', '33.00'),
('63878', '29.00'),
('71816', '40.00'),
('32949', '23.00'),
('86221', '36.00'),
('79888', '31.00'),
('98614', '4.00'),
('19750', '45.00'),
('81230', '4.00'),
('98445', '5.00'),
('24119', '37.00'),
('22913', '4.00'),
('40391', '41.00'),
('43244', '20.00'),
('70213', '26.00'),
('50818', '32.00'),
('71789', '32.00'),
('20427', '39.00'),
('35891', '5.00'),
('10131', '50.00'),
('77562', '17.00'),
('31645', '26.00'),
('19196', '15.00'),
('87744', '1.00'),
('44778', '23.00'),
('51299', '31.00'),
('70262', '14.00'),
('32473', '39.00'),
('36107', '2.00'),
('57572', '17.00'),
('31424', '12.00'),
('93229', '6.00'),
('81534', '1.00'),
('23813', '24.00'),
('18913', '39.00'),
('51404', '2.00'),
('57321', '40.00'),
('44764', '41.00'),
('94138', '5.00'),
('55466', '40.00'),
('21100', '6.00'),
('17142', '25.00'),
('92597', '11.00'),
('36406', '48.00'),
('81295', '30.00'),
('60374', '7.00'),
('27282', '17.00'),
('72188', '42.00'),
('28955', '9.00'),
('53670', '38.00'),
('28615', '27.00'),
('59729', '30.00'),
('73667', '24.00'),
('83596', '28.00'),
('21182', '48.00'),
('99031', '32.00'),
('90976', '49.00'),
('76793', '6.00'),
('34303', '17.00'),
('55519', '9.00'),
('90518', '15.00'),
('63069', '28.00'),
('54128', '19.00'),
('14126', '7.00'),
('49292', '9.00'),
('36479', '50.00'),
('29828', '20.00'),
('98507', '26.00'),
('51569', '30.00'),
('34026', '29.00'),
('13505', '27.00'),
('89452', '24.00'),
('82507', '46.00'),
('91613', '48.00'),
('50747', '13.00'),
('73232', '7.00'),
('98358', '44.00'),
('45705', '36.00'),
('95534', '25.00'),
('92826', '19.00'),
('12222', '22.00'),
('35592', '3.00'),
('33399', '44.00'),
('53486', '39.00'),
('32346', '44.00'),
('36289', '15.00'),
('39088', '30.00'),
('55987', '48.00'),
('19649', '23.00'),
('67136', '23.00'),
('94038', '8.00'),
('84082', '25.00'),
('31739', '40.00'),
('79127', '11.00'),
('74242', '32.00'),
('77219', '4.00'),
('59144', '36.00'),
('87811', '5.00'),
('12201', '23.00'),
('81177', '15.00'),
('15736', '16.00'),
('23274', '39.00'),
('21901', '1.00'),
('18975', '29.00'),
('28633', '26.00'),
('86595', '9.00'),
('68512', '23.00'),
